100043468	Zfp955b
PHF13	Phf13
PHF14	Phf14
PHF15	Jade2
PHF2	Phf2
PHF20	Phf20
PHF21B	Phf21b
PHF23	Phf23
PHF3	Phf3
PHF7	Phf7
PHIP	Phip
PHK gamma (muscle)	Phkg1
PHLDA1	Phlda1
PHOGRIN	Ptprn2
PHP14	Phpt1
PHRET1	Plekhb1
PHYHIPL	Phyhipl
PI-TP	Pitpna
PI3K cat class IA (p110-alpha)	Pik3ca
PI3K cat class IA (p110-delta)	Pik3cd
PI3K cat class III (Vps34)	Pik3c3
PI3K reg class IA (p55-gamma)	Pik3r3
PI3K reg class IA (p85-alpha)	Pik3r1
PI3K reg class IA (p85-beta)	Pik3r2
PI3K reg class IB (p101)	Pik3r5
PI3K reg class III (p150)	Pik3r4
PI4Kalpha	Pi4ka
PIAS2	Pias2
PIBF	Pibf1
PICALM	Picalm
PID1	Pid1
PIGA	Piga
PIGG	Pigg
PIGH	Pigh
PIGL	Pigl
PIGN	Pign
PIGR	Pigr
PIGR(SC)	Pigr
PIGX	Pigx
PIGY	Pyurf
PIK3IP1	Pik3ip1
PIKE(CENTG1)	Agap2
PIMT	Pcmt1
PINCH	Lims1
PINCH-2	Lims2
PINK1	Pink1
PIP1	Pak1ip1
PIP4K2B	Pip4k2b
PIP5K1A	Pip5k1a
PIP5K2C	Pip4k2c
PIP5KIII	Pikfyve
PIP5KL1	Pip5kl1
PIPKI gamma	Pip5k1c
PIPOX	Pipox
PIPS	Gprasp1
PISD	Pisd
PJA2	Pja2
PKA-cat alpha	Prkaca
PKA-cat beta	Prkacb
PKC-epsilon	Prkce
PKC-gamma	Prkcg
PKC-lambda/iota	Prkci
PKD1-like	AU040320
PKIA	Pkia
PKIB	Pkib
PKIG	Pkig
PKM2	Pkm
PLA2G5	Pla2g5
PLAG1	Plag1
PLAP	Plaa
PLAT (TPA)	Plat
PLC-beta1	Plcb1
PLC-gamma 1	Plcg1
PLCC	Agpat3
PLCD	Agpat4
PLCL1	Plcl1
PLCL2	Plcl2
PLCXD3	Plcxd3
PLEKHA1 (TAPP1)	Plekha1
PLEKHA5	Plekha5
PLEKHB2	Plekhb2
PLEKHG1	Plekhg1
PLEKHH1	Plekhh1
PLEKHM2	Plekhm2
PLEKHM3	Plekhm3
PLG-RKT	Plgrkt
PLGF	Pgf
PLK2	Plk2
PLK3 (CNK)	Plk3
PLK4 (STK18)	Plk4
PLLP	Pllp
PLP1	Plp1
PLVAP	Plvap
PLXDC2	Plxdc2
PM/SCL-75	Exosc9
PM20D2	Pm20d2
PMCA1	Atp2b1
PMCA2b	Atp2b2
PMCA3	Atp2b3
PMEPA1	Pmepa1
PMFBP1	Pmfbp1
PMGE	Bpgm
PML	Pml
PMM1	Pmm1
PMP70	Abcd3
PMS1	Pms1
PMVK	Pmvk
PNCK	Pnck
PNMA1	Pnma1
PNMA2	Pnma2
PNMT	Pnmt
PNO1	Pno1
PNPH	Pnp
PNRC2	Pnrc2
PNUTS	Ppp1r10
PODN	Podn
PODXL2	Podxl2
POGZ	Pogz
POLD reg (p50)	Pold2
POLD reg (p68)	Pold3
POLG reg	Polg2
POLR1A	Polr1a
POLR1B	Polr1b
POLR2B	Polr2b
POLR2C	Polr2c
POLR2G	Polr2g
POLR3A	Polr3a
POLR3E	Polr3e
POLR3F	Polr3f
POLR3G	Polr3g
POLR3H	Polr3h
POLR3K	Polr3k
POP5	Pop5
POT1	Pot1a
POU6F2	Pou6f2
PP1-cat gamma	Ppp1cc
PP2A cat (alpha)	Ppp2ca
PP2A cat (beta)	Ppp2cb
PP2C alpha	Ppm1a
PP2C gamma	Ppm1g
PP5	Ppp5c
PP6C	Ppp6c
PPAL	Acp2
PPAN	Ppan
PPAPDC1A	Plpp4
PPAR-beta(delta)	Ppard
PPAR-gamma	Pparg
PPCKM	Pck2
PPCS	Ppcs
PPDPF	Ppdpf
PPHLN1	Pphln1
PPIF	Ppif
PPIL3	Ppil3
PPM1H	Ppm1h
PPM1K	Ppm1k
PPM1L	Ppm1l
PPME1	Ppme1
PPP1R11	Ppp1r11
PPP1R15B	Ppp1r15b
PPP1R3D	Ppp1r3d
PPP1R3E	Ppp1r3e
PPP2R1B	Ppp2r1b
PPP2R2A	Ppp2r2a
PPP2R2B	Ppp2r2b
PPP2R2C	Ppp2r2c
PPP2R2D	Ppp2r2d
PPP2R3A	Ppp2r3a
PPP2R5A	Ppp2r5a
PPP2R5D	Ppp2r5d
PPP4C	Ppp4c
PPP4R2	Ppp4r2
PPT2	Ppt2
PPase (inorganic)	Ppa1
PR (membrane)	Pgr
PR (nuclear)	Pgr
PR44 (DIS3)	Dis3
PR61beta	Ppp2r5b
PR65-alpha	Ppp2r1a
PRAT4B	Cnpy4
PRCC	Prcc
PRDM15	Prdm15
PRDX2	Prdx2
PRDX3	Prdx3
PREI3	Mob4
PREP2	Pknox2
PREX1	Prex1
PREX2	Prex2
PRIC320	Chd9
PRK2	Pkn2
PRKAR2A	Prkar2a
PRKAR2B	Prkar2b
PRKCBP1	Zmynd8
PRKD1	Prkd1
PRKRIP1	Prkrip1
PRL3C1	Prl3c1
PRL5A1	Prl5a1
PRMT5	Prmt5
PRMT6	Prmt6
PRNP	Prnp
PROM2	Prom2
PROP1	Prop1
PROX1	Prox1
PRPF18	Prpf18
PRPF3	Prpf3
PRPF38B	Prpf38b
PRPS2	Prps2
PRR12	Prr12
PRR18	Prr18
PRR3	Prr3
PRR5	Prr5
PRRG3	Prrg3
PRRG4	Prrg4
PRRT3	Prrt3
PRSS23	Prss23
PRSS37	Prss37
PRiMA1	Prima1
PSAT	Psat1
PSCDBP	Cytip
PSD	Psd
PSD-95	Dlg4
PSD2	Psd2
PSKH1	Pskh1
PSMB1	Psmb1
PSMB10	Psmb10
PSMB4	Psmb4
PSMB6	Psmb6
PSMC4	Psmc4
PSMC6	Psmc6
PSMD1	Psmd1
PSMD11	Psmd11
PSMD12	Psmd12
PSMD5	Psmd5
PSMD6	Psmd6
PSMD8	Psmd8
PSP	Rida
PSPC1	Pspc1
PSTK	Pstk
PTCD1	Ptcd1
PTCD3	Ptcd3
PTCH1	Ptch1
PTD015	Aamdc
PTE1	Acot8
PTE2	Acot2
PTGES3L	Ptges3l
PTGIS	Ptgis
PTH(1-34)	Pth
PTHR (1-34)	Pthlh
PTHrP	Pthlh
PTOP	Acd
PTOV1	Ptov1
PTP-1B	Ptpn1
PTP-MEG2	Ptpn9
PTP4A2	Ptp4a2
PTPA	Ptpa
PTPD1	Ptpn21
PTPDC1	Ptpdc1
PTPLAD2	Hacd4
PTPN12	Ptpn12
PTPN2	Ptpn2
PTPN20B	Ptpn20
PTPN4	Ptpn4
PTPR-alpha	Ptpra
PTPR-delta	Ptprd
PTPR-epsilon	Ptpre
PTPR-zeta	Ptprz1
PTPRR	Ptprr
PTS	Pts
PTS1 receptor	Pex5
PTSS2	Ptdss2
PUM1	Pum1
PUM2	Pum2
PUS3	Pus3
PVR	Pvr
PWP1	Pwp1
PWP2H	Pwp2
PXK	Pxk
PXMP4	Pxmp4
PYGB	Pygb
PYGO2	Pygo2
Par-4	Pawr
Paralemmin	Palm
Paraplegin	Spg7
Parathymosin	Ptms
Parathyroid hormone	Pth
Paraxis	Tcf15
Pcdh19	Pcdh19
Pcdhb14 (rodent)	Pcdhb14
Pcf11	Pcf11
Peg10	Peg10
Pellino 1	Peli1
Pellino 2	Peli2
Perforin	Prf1
Pgbd5	Pgbd5
PhLP	Pdcl
Phospho2	Phospho2
Phox1 (PRRX1)	Prrx1
Pim-1	Pim1
Pim-2	Pim2
Pim-3	Pim3
Pisd-ps3	Pisd-ps3
Pitpnm (NIR2)	Pitpnm1
Plakophilin 1	Pkp1
Plakophilin 3	Pkp3
Plectin 1	Plec
Pleiotrophin (OSF1)	Ptn
Plekhh2	Plekhh2
Plexin A2	Plxna2
Plexin A3	Plxna3
Plexin A4	Plxna4
Plexin B3	Plxnb3
Plexin D1	Plxnd1
Podocin	Nphs2
Podoplanin	Pdpn
Poly(A) polymerase	Papola
Polycystin	Pkd1
Porf-2	Arhgap39
Pot1b	Pot1b
Ppp2r3d	Ppp2r3d
Praja-1	Pja1
Prepronociceptin	Pnoc
Prestin	Slc26a5
Prickle-1	Prickle1
Pro-CCK	Cck
ProSAPiP1	Lzts3
Probable G-protein coupled receptor 22	Gpr22
Proenkephalin-B	Pdyn
Profilin I	Pfn1
Proglucagon	Gcg
Prolactin-3C1	Prl3c1
Protein C receptor (endothelial)	Procr
Protein Z	Proz
Protocadherin 7	Pcdh7
Protor-2	Prr5l
Prp8	Prpf8
Prps1l3	Prps1l3
Prrc1	Prrc1
Prrt1	Prrt1
Psg19	Psg19
Pyk2(FAK2)	Ptk2b
QBRICK	Frem1
QIK	Sik2
QSCN6L1	Qsox2
Quinone oxidoreductase	Cryz
R-Ras	Rras
R-cadherin	Cdh4
R-spondin 1	Rspo1
R-spondin 4	Rspo4
R12BB	Rbm12b2
R3HCC1	R3hcc1
R3HDM	R3hdm1
R3HDM2	R3hdm2
R7BP	Rgs7bp
RAB24	Rab24
RAB2A	Rab2a
RAB2B	Rab2b
RAB39B	Rab39b
RAB3IP	Rab3ip
RAB42	Rab42
RAB43	Rab43
RABGEF1	Rabgef1
RABL3	Rabl3
RABL4	Ift27
RABL5	Ift22
RACK1	Rack1
RAD1	Rad1
RAD23A	Rad23a
RAD26L	Ercc6l2
RAD51D	Rad51d
RAD9A	Rad9a
RAI1	Rai1
RAI2	Rai2
RAIDD	Cradd
RAIG1	Gprc5a
RALGAPB	Ralgapb
RANBP6	Ranbp6
RANBP8	Ipo8
RAP-1A	Rap1a
RAP-1B	Rap1b
RAP-2A	Rap2a
RAP-2B	Rap2b
RAP6	Gapvd1
RARalpha	Rara
RARgamma	Rarg
RASA2	Rasa2
RASAL2	Rasal2
RASD2	Rasd2
RASGEF1C	Rasgef1c
RASGRF1	Rasgrf1
RASIP1	Rasip1
RASL11A	Rasl11a
RASSF2	Rassf2
RASSF3	Rassf3
RASSF5	Rassf5
RAVER1	Raver1
RBB2	Kdm5a
RBBP4 (RbAp48)	Rbbp4
RBBP5	Rbbp5
RBBP6	Rbbp6
RBBP7 (RbAp46)	Rbbp7
RBBP9	Rbbp9
RBM12	Rbm12
RBM12B	Rbm12b1
RBM13	Mak16
RBM15	Rbm15
RBM16	Scaf8
RBM18	Rbm18
RBM27	Rbm27
RBM30	Rbm4b
RBM6	Rbm6
RBM8 (Y14)	Rbm8a
RBMS1	Rbms1
RBMX2	Rbmx2
RBP-J kappa (CBF1)	Rbpj
RBP1	Rbp1
RBP4	Rbp4
RC3H2	Rc3h2
RCC1	Rcc1
RCD1	Cnot9
RCOR3	Rcor3
RD protein	Nelfe
RDH12	Rdh12
RDH14	Rdh14
RED	Ik
REDD1	Ddit4
REEP2	Reep2
RELL2	Rell2
REM2	Rem2
RENT2	Upf2
REPIN1	Repin1
RERE	Rere
RET	Ret
REV-ERB-BETA	Nr1d2
REV-ERBalpha	Nr1d1
REXO1	Rexo1
RFC1	Rfc1
RFESD	Rfesd
RFLP4	Rfpl4
RFTN2	Rftn2
RFWD3	Rfwd3
RFX1	Rfx1
RFX4	Rfx4
RFX5	Rfx5
RG9MTD1	Trmt10c
RGC32	Rgcc
RGL2	Rgl2
RGS10	Rgs10
RGS12	Rgs12
RGS16	Rgs16
RGS19	Rgs19
RGS20	Rgs20
RGS4	Rgs4
RGS6	Rgs6
RGS9	Rgs9
RHBDL1	Rhbdl1
RHBDL2	Rhbdl2
RHBDL3	Rhbdl3
RHEB2	Rheb
RHO6	Rnd1
RHOBTB3	Rhobtb3
RIB2	Rpn2
RIC8A	Ric8a
RIC8B	Ric8b
RIF1	Rif1
RIMBP3	Rimbp3
RIMS2	Rims2
RIMS3	Rims3
RIMS4	Rims4
RIN1	Rin1
RING1	Ring1
RINT-1	Rint1
RIP	Agfg1
RIPK5	Dstyk
RKHD3	Mex3b
RKIP	Pebp1
RLBP1L2	Clvs2
RLF	Rlf
RLI	Abce1
RNA 3'-terminal phosphate cyclase	Rtca
RNA-binding protein 12B-B	Rbm12b2
RNASEH2C	Rnaseh2c
RNF113A	Rnf113a2
RNF13	Rnf13
RNF130	Rnf130
RNF141	Rnf141
RNF148	Rnf148
RNF149	Rnf149
RNF150	Rnf150
RNF167	Rnf167
RNF169	Rnf169
RNF170	Rnf170
RNF180	Rnf180
RNF181	Rnf181
RNF187	Rnf187
RNF20	Rnf20
RNF217	Rnf217
RNF220	Rnf220
RNF32	Rnf32
RNF38	Rnf38
RNF4	Rnf4
RNF43	Rnf43
RNF44	Rnf44
RNF5	Rnf5
RNF6	Rnf6
RNF7	Rnf7
RNFT1	Rnft1
RNPEP	Rnpep
RNPEPL1	Rnpepl1
RNPS1	Rnps1
RNUXA	Phax
ROBO1	Robo1
ROCK2	Rock2
ROPN1L	Ropn1l
ROR-alpha	Rora
ROR-beta	Rorb
RP1-112K5.2	Tsr2
RP11-35N6.1	Plppr1
RP11-529I10.4	Dpcd
RP3	Rpgr
RP40	Uba52
RP42 (Scro)	Dcun1d1
RPA2	Rpa2
RPA39	Polr1c
RPAP1	Rpap1
RPAP2	Rpap2
RPB5	Polr2e
RPB8	Polr2h
RPGRIP1	Rpgrip1
RPIA	Rpia
RPL11	Rpl11
RPL14	Rpl14
RPL19	Rpl19
RPL22	Rpl22
RPL27A	Rpl27a
RPL35	Rpl35
RPL37A	Rpl37a
RPL41	Rpl41
RPL6	Rpl6
RPL7	Rpl7
RPL7A	Rpl7a
RPL7L1	Rpl7l1
RPL8	Rpl8
RPLP0	Rplp0
RPLP2	Rplp2
RPP25	Rpp25
RPRD1B	Rprd1b
RPRML	Rprml
RPS10	Rps10
RPS11	Rps11
RPS15	Rps15
RPS18	Rps18
RPS19	Rps19
RPS2	Rps2
RPS20	Rps20
RPS24	Rps24
RPS25	Rps25
RPS26	Rps26
RPS27	Rps27
RPS28	Rps28
RPS30	Fau
RPS4X	Rps4x
RPS5	Rps5
RPS6	Rps6
RPS6KC1	Rps6kc1
RPS6KL1	Rps6kl1
RPS7	Rps7
RRAD	Rrad
RRM1	Rrm1
RRM2B	Rrm2b
RRP1B (KIAA0179)	Rrp1b
RRP4	Exosc2
RRP42	Exosc7
RRP43	Exosc8
RSAD1	Rsad1
RSC1A1	Rsc1a1
RSL24D1	Rsl24d1
RTN4RL1	Rtn4rl1
RTTN	Rttn
RUFY1	Rufy1
RUFY3	Rufy3
RUNDC1	Rundc1
RUNX3	Runx3
RUSC1 (NESCA)	Rusc1
RUVBL2	Ruvbl2
RWDD3	Rwdd3
RWDD4A	Rwdd4a
RXRA	Rxra
Rab-10	Rab10
Rab-11A	Rab11a
Rab-11B	Rab11b
Rab-15	Rab15
Rab-1A	Rab1a
Rab-1B	Rab1b
Rab-21	Rab21
Rab-22A	Rab22a
Rab-28	Rab28
Rab-30	Rab30
Rab-31	Rab31
Rab-32	Rab32
Rab-33A	Rab33a
Rab-36	Rab36
Rab-39	Rab39
Rab-3B	Rab3b
Rab-3C	Rab3c
Rab-4A	Rab4a
Rab-6A	Rab6a
Rab-7	Rab7
Rab11-FIP2	Rab11fip2
Rab11-FIP3	Rab11fip3
Rab11-FIP4	Rab11fip4
Rab12	Rab12
Rabaptin-5	Rabep1
Rabconnectin-3	Dmxl2
Rabenosyn-5	Rbsn
Rabphilin-3A	Rph3a
Rad21	Rad21
Rad50	Rad50
Rad52	Rad52
Raftlin	Rftn1
RagC	Rragc
RagD	Rragd
RalB	Ralb
RalBP1	Ralbp1
RanBP2	Ranbp2
Rap1GAP1	Rap1gap
Raptor	Rptor
Ras-related protein Rap-1A	Rap1a
Rb protein	Rb1
Rdx12	Mien1
RecQ5	Recql5
Reelin	Reln
RelA (p65 NF-kB subunit)	Rela
RelB (NF-kB subunit)	Relb
Resistin	Retn
Reticulocalbin 1	Rcn1
Reticulon 4	Rtn4
Reticulon-2	Rtn2
Rhbdd2	Rhbdd2
RhoA	Rhoa
RhoB	Rhob
RhoBTB2	Rhobtb2
RhoE	Rnd3
RhoGAP5	Arhgap5
RhoGDI gamma	Arhgdig
Rhotekin	Rtkn
Rhov	Rhov
Rian	Rian
Rictor	Rictor
Rififylin (RFFL)	Rffl
Rip11	Rab11fip5
Ripply2	Ripply2
Rnasek	Rnasek
Rnf113a1	Rnf113a1
Rnf26	Rnf26
Rod	Kntc1
Rootletin	Crocc
Roquin	Rc3h1
Rpl22l1	Rpl22l1
Rsl-1	Rsl1
Rslcan10	Zfp455
Rslcan12	Zfp493
Rslcan15	Zfp874a
Rslcan16	Zfp874b
Rubicon	Rubcn
Ryanodine receptor 1	Ryr1
Ryanodine receptor 2	Ryr2
Ryanodine receptor 3	Ryr3
S100A13	S100a13
S100A3	S100a3
S100A5	S100a5
S100B	S100b
S100G	S100g
S100PBP	S100pbp
S19BP	Rps19bp1
S1P	Mbtps1
S1P1 receptor	S1pr1
S1P5 receptor	S1pr5
S2P	Mbtps2
S5AR2	Srd5a2
SAB	Sh3bp5
SACS	Sacs
SAE1	Sae1
SAE2	Uba2
SAFB	Safb
SAHH	Ahcy
SALL-1	Sall1
SALL2	Sall2
SAMD10	Samd10
SAMD4B	Samd4b
SAMM50	Samm50
SAP102	Dlg3
SAP30	Sap30
SAP97 (DLG1)	Dlg1
SAR1B	Sar1b
SART1	Sart1
SAS	Tspan31
SASH1	Sash1
SBDS	Sbds
SBP2	Secisbp2
SBSN	Sbsn
SC1	Tcf19
SC5D	Sc5d
SCAMP2	Scamp2
SCAP	Scap
SCFD2	Scfd2
SCMH1	Scmh1
SCN3B	Scn3b
SCN4B	Scn4b
SCOCO	Scoc
SCOT	Oxct1
SCP1	Ctdsp1
SCPEP1	Scpep1
SCRIB	Scrib
SCRT2	Scrt2
SCUBE3	Scube3
SCYL3	Scyl3
SDCCAG8	Sdccag8
SDF2L1	Sdf2l1
SDFR1	Nptn
SDHA	Sdha
SDHAF1	Sdhaf1
SDHAF2	Sdhaf2
SDHD	Sdhd
SDOS	Nudt16l1
SDS3	Suds3
SEC14L1	Sec14l1
SEC14L3(TAP2)	Sec14l3
SEC15L	Exoc6
SEC16A	Sec16a
SEC22C	Sec22c
SEC61 beta	Sec61b
SEL1L	Sel1l
SEMACAP3	Pdzrn3
SENP2	Senp2
SENP5	Senp5
SENP6	Senp6
SENP7	Senp7
SEPHS1	Sephs1
SEPX1 (Selenoprotein X1)	Msrb1
SERF2	Serf2
SERINC4	Serinc4
SERINC5	Serinc5
SERP1	Serp1
SERPINB1	Serpinb1a
SERPINB6	Serpinb6a
SERPINB8	Serpinb8
SERPINF2	Serpinf2
SERTAD1	Sertad1
SERTAD2	Sertad2
SERTAD3	Sertad3
SESTD1	Sestd1
SET7	Setd7
SET8	Kmt5a
SETD4	Setd4
SETD6	Setd6
SETDB1	Setdb1
SETDB2	Setdb2
SETX	Setx
SF3A1	Sf3a1
SF3B2	Sf3b2
SF3B3	Sf3b3
SF4	Sugp1
SFN	Rexo2
SFR1	Sfr1
SFRS10	Tra2b
SFRS12IP1	Srek1ip1
SFRS14	Sugp2
SFRS15	Scaf4
SFRS18	Pnisr
SFRS2 (SC-35)	Srsf2
SFRS2IP	Scaf11
SFRS3	Srsf3
SFRS7 (9G8)	Srsf7
SFRS9	Srsf9
SFT2D1	Sft2d1
SFT2D2	Sft2d2
SFT2D3	Sft2d3
SGK2	Sgk2
SGK3	Sgk3
SGPP1	Sgpp1
SGTB	Sgtb
SH2D5	Sh2d5
SH2D6	Sh2d6
SH3BGRL	Sh3bgrl
SH3BGRL2	Sh3bgrl2
SH3BP4	Sh3bp4
SH3RF	Sh3rf1
SHANK3	Shank3
SHB	Shb
SHC2	Shc2
SHC3	Shc3
SHIP2	Inppl1
SHISA4	Shisa4
SHISA9	Shisa9
SHMT2	Shmt2
SHP-2	Ptpn11
SHPRH	Shprh
SHPS-1	Sirpa
SHQ1	Shq1
SHREW1	Ajap1
SHRM	Shroom3
SIA7C	St6galnac3
SIA7E	St6galnac5
SIAH2	Siah2
SIAHBP1	Puf60
SIAT1	St6gal1
SIAT4A	St3gal1
SIAT6	St3gal3
SIAT8A	St8sia1
SIAT8C	St8sia3
SIAT8D	St8sia4
SIAT8E	St8sia5
SIK	Sik1
SIKE	Sike1
SIN1	Mapkap1
SIP1	Gemin2
SIPA1L3	Sipa1l3
SIPAR	Fam220a
SIX3	Six3
SK3	Kcnn3
SKAP55	Skap1
SKIP	Inpp5k
SKIP (Ski-interacting protein)	Snw1
SLAIN1	Slain1
SLAIN2	Slain2
SLB	Ift172
SLC-1	Mchr1
SLC10A7	Slc10a7
SLC12A3	Slc12a3
SLC12A4	Slc12a4
SLC12A9	Slc12a9
SLC16A13	Slc16a13
SLC17A3	Slc17a3
SLC1A1/EAAT3	Slc1a1
SLC1A2/EAAT2	Slc1a2
SLC22A12	Slc22a12
SLC22A15	Slc22a15
SLC22A23	Slc22a23
SLC22A25	Slc22a27
SLC22A3	Slc22a3
SLC24A2	Slc24a2
SLC24A4	Slc24a4
SLC25A11	Slc25a11
SLC25A25	Slc25a25
SLC25A26	Slc25a26
SLC25A28	Slc25a28
SLC25A3	Slc25a3
SLC25A32	Slc25a32
SLC25A35	Slc25a35
SLC25A39	Slc25a39
SLC25A5	Slc25a5
SLC34A1	Slc34a1
SLC35A3	Slc35a3
SLC35A5	Slc35a5
SLC35B4	Slc35b4
SLC35E1	Slc35e1
SLC35E2B	Slc35e2
SLC35E3	Slc35e3
SLC35F1	Slc35f1
SLC36A4	Slc36a4
SLC38A1	Slc38a1
SLC38A9	Slc38a9
SLC39A10	Slc39a10
SLC39A3 (ZIP3)	Slc39a3
SLC39A6	Slc39a6
SLC39A8	Slc39a8
SLC3A2	Slc3a2
SLC41A2	Slc41a2
SLC43A2	Slc43a2
SLC44A1	Slc44a1
SLC4A4	Slc4a4
SLC5A2	Slc5a2
SLC5A5	Slc5a5
SLC6A11	Slc6a11
SLC6A15	Slc6a15
SLC6A17	Slc6a17
SLC6A6	Slc6a6
SLC7A6OS	Slc7a6os
SLC9A1	Slc9a1
SLCO5A1	Slco5a1
SLICK	Kcnt2
SLIT1	Slit1
SLIT2	Slit2
SLITRK1	Slitrk1
SLITRK3	Slitrk3
SLITRK5	Slitrk5
SLK	Slk
SLM-2	Khdrbs3
SLU7	Slu7
SMAD1	Smad1
SMAD2	Smad2
SMAD4	Smad4
SMAD5	Smad5
SMAD7	Smad7
SMAP	1110004F10Rik
SMARCA5	Smarca5
SMARCAL1	Smarcal1
SMC1	Smc1a
SMC6	Smc6
SMCX	Kdm5c
SMCY	Kdm5d
SMG1	Smg1
SMG6	Smg6
SMG7	Smg7
SMG9	Smg9
SMIM10L1	Smim10l1
SMPD3	Smpd3
SMPD4	Smpd4
SMRT	Ncor2
SMS2	Sgms2
SMU1	Smu1
SMURF1	Smurf1
SMVT	Slc5a6
SMYD1	Smyd1
SMYD3	Smyd3
SMYD4	Smyd4
SMYD5	Smyd5
SNAI3	Snai3
SNAPalpha	Napa
SNHG14	Snhg14
SNM1	Dclre1a
SNX12	Snx12
SNX13	Snx13
SNX16	Snx16
SNX19	Snx19
SNX21	Snx21
SNX3	Snx3
SNX30	Snx30
SNX31	Snx31
SNX33 (SH3PX3)	Snx33
SOAT1	Soat1
SOCS6	Socs6
SOD1	Sod1
SON	Son
SORCS2	Sorcs2
SORL1	Sorl1
SOX1	Sox1
SOX10	Sox10
SOX11	Sox11
SOX12	Sox12
SOX2	Sox2
SOX21	Sox21
SOX3	Sox3
SOX6	Sox6
SP-C	Sftpc
SP192	Gpbp1l1
SPA1	Sipa1
SPA3M	Serpina3m
SPAG4	Spag4
SPAR (SIPA1L1)	Sipa1l1
SPATA2	Spata2
SPATA2L	Spata2l
SPATA3	Spata3
SPATA9	Spata9
SPBP	Tcf20
SPC12	Spcs1
SPC22	Spcs3
SPEC1	Cdc42se1
SPEC2	Cdc42se2
SPECC1	Specc1
SPEE	Srm
SPF30	Smndc1
SPFH2	Erlin2
SPHK2	Sphk2
SPINK8	Spink8
SPOCK	Spock1
SPOCK2	Spock2
SPOP	Spop
SPPL2b	Sppl2b
SPRED1	Spred1
SPRED3	Spred3
SPRY4	Spry4
SPRYD3	Spryd3
SPTBN2	Sptbn2
SRA1	Sra1
SRD5A2L2	Tecrl
SRF	Srf
SRFBP1	Srfbp1
SRGAP1	Srgap1
SRGAP2	Srgap2
SRGAP2(WRP)	Srgap3
SRP54	Srp54a
SRP54	Srp54b
SRRD	Srrd
SRX1	Srxn1
SSAT	Sat1
SSB-2	Spsb2
SSBP1	Ssbp1
SSBP2	Ssbp2
SSBP4	Ssbp4
SSDH	Aldh5a1
SSH1L	Ssh1
SSH3	Ssh3
SSR-delta	Ssr4
SSR-gamma	Ssr3
SSRP1	Ssrp1
SSTK	Tssk6
SSTR2	Sstr2
SSTR4	Sstr4
ST18	St18
ST2L	Tmed1
ST4S6	Chst15
ST6GAL2	St6gal2
ST7	St7
STAC2	Stac2
STAC3	Stac3
STAF65(gamma)	Supt7l
STAG1	Stag1
STAG2	Stag2
STAM1	Stam
STAR	Star
STARD13	Stard13
STARD7	Stard7
STARING	Rnf40
STAT1	Stat1
STAT2	Stat2
STAT3	Stat3
STAT5B	Stat5b
STATIP1	Elp2
STIM1	Stim1
STIM2	Stim2
STK19	Stk19
STK32C	Stk32c
STK39	Stk39
STK4	Stk4
STK40	Stk40
STMN2	Stmn2
STN2	Ston2
STO	Nsd1
STOML1	Stoml1
STOML2	Stoml2
STOX2	Stox2
STRBP	Strbp
STT3A	Stt3a
STXBP4	Stxbp4
STXBP5	Stxbp5
STXBP6	Stxbp6
STYX	Styx
SUCB1	Sucla2
SUGT1	Sugt1
SULT2B1	Sult2b1
SUMO-3	Sumo3
SUPT16H	Supt16
SUPT6H	Supt6
SUPV3L1	Supv3l1
SURF1	Surf1
SURF2	Surf2
SURF6	Surf6
SUV39H2	Suv39h2
SV2B	Sv2b
SV2C	Sv2c
SVIL	Svil
SWI5	Swi5
SYNGR1	Syngr1
SYNJ1	Synj1
SYNJ2	Synj2
SYP	Syp
SYPM	Pars2
SYS1	Sys1
SYT14	Syt14
SYT16	Syt16
SYTL2	Sytl2
SZT2	Szt2
Samd8	Samd8
Scd2	Scd2
Sciellin	Scel
Sec10	Exoc5
Sec15B	Exoc6b
Sec24A	Sec24a
Sec24C	Sec24c
Sec24D	Sec24d
Sec6	Exoc3
Sec8	Exoc4
Secretagogin	Scgn
Secretogranin II	Scg2
Secretogranin V	Scg5
Securin	Pttg1
Semaphorin 3A	Sema3a
Semaphorin 3D	Sema3d
Semaphorin 4B	Sema4b
Semaphorin 4C	Sema4c
Semaphorin 4D	Sema4d
Semaphorin 4F	Sema4f
Semaphorin 6A	Sema6a
Semaphorin 6B	Sema6b
Semaphorin 6D	Sema6d
Sen15	Tsen15
Serine protease inhibitor A3M	Serpina3m
Serine racemase	Srr
Serpin MEPI	Serpini2
Serpina9	Serpina9
Serpinb1b	Serpinb1b
Serpinb6e_435350	Serpinb6e
Serpinb9d	Serpinb9d
Serpinb9e	Serpinb9e
Sestrin 1	Sesn1
Sestrin 2	Sesn2
Sestrin 3	Sesn3
Sgt1	Ecd
Sh3rf2	Sh3rf2
Shootin1 (KIAA1598)	Shtn1
Sialoadhesin	Siglec1
Sideroflexin-3	Sfxn3
Sideroflexin-4	Sfxn4
Sin3A	Sin3a
Sirtuin1	Sirt1
Sirtuin4	Sirt4
Sirtuin5	Sirt5
Sirtuin6	Sirt6
Six3os1	Six3os1
Ski	Ski
Slc25a42	Slc25a42
Slc35d3	Slc35d3
Slc35f3	Slc35f3
Slc7a15	Slc7a15
Slx2	1700013H16Rik
Smac/Diablo	Diablo
Smchd1	Smchd1
Snapin	Snapin
