Interactions Report,,,,,,,,,
,From,,To,,,,,,
4268,NURR1,Transcription factor,SIAT1,Generic enzyme,Activation,Transcription regulation,x,NURR1 activates transcription of SIAT1.,34157397
4269,Fra-1,Transcription factor,SALL2,Transcription factor,Inhibition,Transcription regulation,x,Fra-1 inhibits transcription of SALL2.,34282187
4270,p53,Transcription factor,METTL14,Generic enzyme,Activation,Transcription regulation,x,p53 activates transcription of METTL14.,36794620
4271,LCMR1,Generic binding protein,LRRTM3,Generic binding protein,Activation,Transcription regulation,x,LCMR1 co-activates transcription of LRRTM3.,33513133
4272,SOX2,Transcription factor,DHFR,Generic enzyme,Activation,Transcription regulation,x,SOX2 activates transcription of DHFR.,19884255;21211035;31447265
4273,Kaiso,Transcription factor,p21,Generic binding protein,Activation,Transcription regulation,x,Kaiso activates transcription of p21.,25288747
4274,CBP,Generic enzyme,B-FABP,Generic binding protein,Activation,Transcription regulation,x,"COUP-TFI binds the conserved DR0/DR2 sites in the proximal upstream Fabp7 promoter, recruiting CBP, SRC-1 that promote local H3K9 acetylation and increasing the transcription rate of the Fabp7 gene.",20111703
4275,NANOG,Transcription factor,SOX11,Transcription factor,Inhibition,Transcription regulation,x,NANOG inhibits transcription of SOX11.,19884255;33915080;33990559
4276,SON,Generic binding protein,MLL1 (HRX),Transcription factor,Inhibition,Binding,x,SON binds to and inhibits MLL1 (HRX).,26990989
4277,Rb protein,Generic binding protein,C/EBP zeta,Transcription factor,Inhibition,Transcription regulation,x,"HMDB enhanced CEBPD binding to the PPARG2 and GADD153 promoters, while attenuating the binding of RB and having no significant effect on E2F1 binding.",20971808;34975152
4278,CORO1C,Generic binding protein,TD-60,Protein,Inhibition,Binding,x,CORO1C binds to and inhibits TD-60.,25074804
4279,KLF4,Transcription factor,HEY1,Transcription factor,Inhibition,Transcription regulation,x,KLF4 inhibits transcription of HEY1.,19736564;24599951;32467224
4280,RelA (p65 NF-kB subunit),Transcription factor,KIAA1166,Generic binding protein,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of KIAA1166.,28579529
4281,c-Fos,Transcription factor,MVD,Generic kinase,Activation,Transcription regulation,x,c-Fos activates transcription of MVD.,28805822
4282,DDB2,Generic binding protein,NEDD4L,Generic enzyme,Inhibition,Transcription regulation,x,DDB2 co-inhibits transcription of NEDD4L.,26130719
4283,EPAS1,Transcription factor,F263,Generic enzyme,Activation,Transcription regulation,x,EPAS1 activates transcription of F263.,19858293;35504338
4284,NFIB,Transcription factor,SLC1A2/EAAT2,Transporter,Activation,Transcription regulation,x,NFIB activates transcription of SLC1A2/EAAT2.,19924110;27373156;36690626
4285,NANOG,Transcription factor,DPP4,Generic protease,Activation,Transcription regulation,x,"Probably, DPP4 is one of the Nanog genomic targets in murine ES cells.",18700969;19884255;33915080
4286,RelA (p65 NF-kB subunit),Transcription factor,ICA69,Generic binding protein,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of ICA69.,28579529
4287,SRF,Transcription factor,Sirtuin1,Generic enzyme,Activation,Transcription regulation,x,SRF activates transcription of Sirtuin1.,31908029;33033234
4288,LRP1,Generic receptor,CHFR,Generic enzyme,Inhibition,Binding,x,LRP1 binds to and inhibits CHFR.,23241409
4289,LXR-beta,Transcription factor,ACSL3,Generic enzyme,Activation,Transcription regulation,x,LXR-beta activates transcription of ACSL3.,20219900;20513432;36592658
4290,Androgen receptor,Transcription factor,PRMT6,Generic enzyme,Activation,Transcription regulation,x,Androgen receptor activates transcription of PRMT6.,26690413;36746939
4291,SRF,Transcription factor,IP3R2,Generic receptor,Inhibition,Transcription regulation,x,SRF inhibits transcription of IP3R2.,23166348;33033234
4292,NCOA1 (SRC1),Generic enzyme,PPCKM,Generic kinase,Inhibition,Transcription regulation,x,NCOA1 (SRC1) co-inhibits transcription of PPCKM.,29567811
4293,CoREST,Generic binding protein,Synaptotagmin IV,Generic receptor,Inhibition,Transcription regulation,x,CoREST coregulates and inhibits Synaptotagmin IV promoter.,15907476;19997604;20823235
4294,FNDC3B,Generic binding protein,STAT3,Transcription factor,Inhibition,Binding,x,FNDC3B binds to and inhibits STAT3.,25671570
4295,NANOG,Transcription factor,ZO-1,Generic binding protein,Inhibition,Transcription regulation,x,NANOG inhibits transcription of ZO-1.,33915080;37137416
4296,NFIX,Transcription factor,ADAM12,Metalloprotease,Inhibition,Transcription regulation,x,NFIX inhibits transcription of ADAM12.,23135915
4297,STAT3,Transcription factor,WaspIP,Generic binding protein,Inhibition,Transcription regulation,x,STAT3 inhibits transcription of WaspIP.,30510251
4298,Nucleophosmin,Generic binding protein,USP7,Generic protease,Inhibition,Binding,x,Nucleophosmin binds to and inhibits USP7.,23183427
4299,c-Myb,Transcription factor,IP3R1,Ligand-gated ion channel,Activation,Transcription regulation,x,C-Myb can bind to gene IP3R1 promoter and activates IP3R1 expression.,12769662;17363689
4300,CDYL,Generic binding protein,GABA-A receptor beta-3 subunit,Ligand-gated ion channel,Inhibition,Transcription regulation,x,CDYL co-inhibits transcription of GABA-A receptor beta-3 subunit.,28842554
4301,Mi-2 beta,Generic binding protein,REDD1,Protein,Inhibition,Transcription regulation,x,Mi-2 beta co-inhibits transcription of REDD1.,25843714
4302,p53,Transcription factor,CALCOCO1,Generic binding protein,Activation,Transcription regulation,x,Putative p53 binding sites are found in gene CALCOCO1 promoter.,19607708;24823795
4303,JunB,Transcription factor,TIMP2,Generic binding protein,Activation,Transcription regulation,x,JunB activates transcription of TIMP2.,29152770;35338135
4304,c-Fos,Transcription factor,Ankrd56,Generic binding protein,Activation,Transcription regulation,x,c-Fos activates transcription of Ankrd56.,25195102
4305,REV-ERBalpha,Transcription factor,OGT (GlcNAc transferase),Generic enzyme,Activation,Binding,x,REV-ERBalpha binds to and activates OGT (GlcNAc transferase).,30397120
4306,CIRBP,Generic binding protein,p27KIP1,Generic binding protein,Activation,Binding,x,CIRBP binds to and activates p27KIP1.,29361038
4307,ATF-4,Transcription factor,NBR1,Generic binding protein,Activation,Transcription regulation,x,ATF-4 activates transcription of NBR1.,23804767
4308,FBXW7,Generic binding protein,NFBD1,Generic binding protein,Inhibition,Binding,x,FBXW7 binds to and inhibits NFBD1.,34974185
4309,NANOG,Transcription factor,RBP-J kappa (CBF1),Transcription factor,Activation,Transcription regulation,x,"Probably, RBP-J kappa (CBF1) is one of the Nanog genomic targets in murine ES cells.",18700969;19884255;33915080
4310,TIF1-beta,Generic enzyme,NUR77,Transcription factor,Activation,Binding,x,"Using pull-down assays and immunoprecipitation was  showed that TIF1beta interacts directly with NGFI-B, and with other Nur family members.",19321449
4311,GLI-2,Transcription factor,Androgen receptor,Transcription factor,Activation,Binding,x,Gli2 co-immunoprecipitates with AR protein suggests that an interaction between these proteins might be the basis for Hedgehog/Gli support of androgen signaling.,20420697;25132524;29429990
4312,Mcl-1,Generic binding protein,NOXA,Generic binding protein,Activation,Binding,x,Mcl-1 binds to and activates NOXA.,17018621;17363497;17374615;17389404;17545623;17653083;19724688;20085765;20188077;20616035;21145489;21750864;22086447;23257783;23274910;24019208;24481451;24792472;25139025;25548100;26411306;27138804;27878989;29764852;29799788;29895675;30071508;30309889;32054729;32094511;32913203;33146015;33259592;33961781;34171479;34728569;36171332;37460459;37919300;38538744
4313,RelB (NF-kB subunit),Transcription factor,PERC,Generic binding protein,Activation,Transcription regulation,x,RelB (NF-kB subunit) activates transcription of PERC.,22351927;27705798
4314,Esrra,Transcription factor,COX IV-1,Generic enzyme,Activation,Transcription regulation,x,Esrra activates transcription of COX IV-1.,17157261;18194548;24819348;32079653;32212902;38937602
4315,hASH1,Transcription factor,UNC5B,Generic receptor,Activation,Transcription regulation,x,hASH1 activates transcription of UNC5B.,34466783
4316,NCS-1,Generic binding protein,TRPC5,Voltage-gated ion channel,Activation,Binding,x,NCS-1 and TRPC5 exist in the same protein complex.,16469785;19320994
4317,GCR,Transcription factor,Beta-arrestin1,Generic binding protein,Activation,Transcription regulation,x,GCR activates transcription of Beta-arrestin1.,23045642;32619221
4318,Dystrophin,Generic binding protein,AHNAK,Generic binding protein,Activation,Binding,x,Dystrophin binds to and activates AHNAK.,22937058
4319,LAPTM4B,Protein,SLC3A2,Generic channel,Activation,Binding,x,LAPTM4B binds to and activates SLC3A2 .,25998567
4320,ARIH2 (TRIAD1),Generic binding protein,MDM2,Generic enzyme,Inhibition,Binding,x,TRIAD1 is a novel modulator of the p53-MDM2 axis that induces p53 activation by inhibiting its regulation by MDM2.,22819825;36055408
4321,CTCF,Transcription factor,DTWD2,Protein,Inhibition,Transcription regulation,x,CTCF inhibits transcription of DTWD2.,32807777;37489832
4322,TCF8,Transcription factor,Neuropilin-1,Generic receptor,Activation,Transcription regulation,x,TCF8 activates transcription of Neuropilin-1.,29706544;32692442;35021086
4323,c-Jun,Transcription factor,ROR-alpha,Transcription factor,Inhibition,Binding,x,c-Jun binds to and inhibits ROR-alpha.,25003192
4324,SOX2,Transcription factor,Girdin,Generic binding protein,Activation,Transcription regulation,x,SOX2 activates transcription of Girdin.,33915080;38951654
4325,alphaAPPs,Generic binding protein,BACE1,Generic protease,Inhibition,Binding,x,alphaAPPs binds to and inhibits BACE1.,22491325
4326,NF-kB1 (p50),Transcription factor,RelB (NF-kB subunit),Transcription factor,Activation,Transcription regulation,x,Interaction of purified NF-kB1 (p50) with RelB (NF-kB subunit) was shown by liquid-chromatography mass spectrometry and directed functional perturbation studies using RNA interference.,9104822;9529248;14743216;15596805;19965984;23086447;24056880;26887983;35339471;38594444
4327,WIPF3,Generic binding protein,N-WASP,Generic binding protein,Activation,Binding,x,WIPF3 binds to and activates N-WASP.,33961781;36649229
4328,p53,Transcription factor,GADD45 gamma,Generic binding protein,Activation,Transcription regulation,x,"Putative p53, Nr3c1, SP1, STAT3, C/EBPalpha, C/EBPbeta, Mybl2, Nr4a3, Nr3c2 and CREB1 binding sites are found in gene Gadd45g promoter.",8242752;10872826;16652119;18639648;19407794;20018659;30894371;37414246
4329,Alpha crystallin A,Generic binding protein,,,Inhibition,Binding,x,Alpha crystallin A binds to and inhibits Bcl-XS.,14752512
4330,TIA-1,Generic binding protein,TGF-beta 1,Receptor ligand,Inhibition,Binding,x,TIA-1 binds with  TGF-beta 1 mRNA.,16168373;18188456
4331,Fra-1,Transcription factor,JunD,Transcription factor,Activation,Binding,x,Fra-1 binds to and activates JunD.,18277385;24029232;28481878;31015574;35134344;38367916
4332,PI3K reg class IA (p85-alpha),Generic binding protein,XBP1,Transcription factor,Activation,Binding,x,p85alpha binds to XBP-1s and increases its nuclear translocation.,20348923;20348926;21605081;25754093
4333,C/EBPbeta,Transcription factor,AMOTL1 (Jeap),Generic binding protein,Activation,Transcription regulation,x,C/EBPbeta activates transcription of AMOTL1 (Jeap).,29712898
4334,TCF7L2 (TCF4),Transcription factor,Jade-1,Generic binding protein,Inhibition,Transcription regulation,x,TCF7L2 (TCF4) probably regulates transcription of Jade-1.,18268006;19718027;32675279
4335,Lamin A/C,Generic binding protein,c-Fos,Transcription factor,Inhibition,Binding,x,C-Fos associates with lamin A.,16452503;17489094;19015316;19479937;31613004
4336,RelB (NF-kB subunit),Transcription factor,Bcl-XL,Generic binding protein,Activation,Transcription regulation,x,RelB (NF-kB subunit) can bind to gene Bcl-XL promoter.,11992002;16192349;23555623
4337,DDX5,Generic enzyme,MEF2C,Transcription factor,Activation,Transcription regulation,x,DDX5 co-activates transcription of MEF2C.,24910439
4338,AF-17,Generic binding protein,DT3UO,Generic binding protein,Activation,Transcription regulation,x,AF-17 co-activates transcription of DT3UO.,38757913
4339,hASH1,Transcription factor,GADD45 gamma,Generic binding protein,Activation,Transcription regulation,x,Gadd45gamma is a direct transcriptional target of Ascl1.,20382226;21536733;32075759;34466783
4340,IGF2BP3,Generic binding protein,ULK1,Protein kinase,Activation,Binding,x,IGF2BP3 binds to and activates ULK1.,25216519;38286802
4341,PPAR-gamma,Transcription factor,Resistin,Receptor ligand,Activation,Transcription regulation,x,PPAR-gamma increases resistin expression.,11373275;11520059;11682067;11901161;15226398;15809511;15833818;15919792;16876120;17689857;19136559;19749155;19952271;19958503;20360975;20651683;22361822;22569073;23776497;23885096;23969982;24049664;24379442;31317231;33027649;35679710;35738051
4342,GABP alpha,Transcription factor,ASXL1,Generic binding protein,Activation,Transcription regulation,x,GABP alpha regulates transcription of ASXL1.,19822575;20019798;21139080
4343,MYT1,Transcription factor,OLIG1,Transcription factor,Inhibition,Transcription regulation,x,MYT1 inhibits transcription of OLIG1.,27705795
4344,NFAT-90,Transcription factor,STAT1,Transcription factor,Inhibition,Transcription regulation,x,NFAT-90 inhibits transcription of STAT1.,34343541
4345,c-Jun,Transcription factor,LAMR1,Generic binding protein,Activation,Transcription regulation,x,c-Jun activates transcription of LAMR1.,28618937
4346,hnRNP A1,Generic binding protein,C/EBPalpha,Transcription factor,Inhibition,Binding,x,hnRNP A1 binds to and inhibits C/EBPalpha.,28746049
4347,N-CoR,Generic binding protein,ABCA1,Ligand-gated ion channel,Inhibition,Transcription regulation,x,N-CoR coregulates and inhibits ABCA1 promoter.,12663743;12897148;19481530;29343442;30153049
4348,RAD1,Generic binding protein,DNA polymerase beta,Generic enzyme,Activation,Binding,x,"The pol b can form a complex with the 9-1-1 complex, and that this interaction appears to be mediated by each of the three monomers. The 9-1-1complex had a stimulatory effect on DNA polymerase b activity.",15314187
4349,SMAD4,Transcription factor,DLK,Generic binding protein,Inhibition,Transcription regulation,x,"Smad1/4 binds to the Smad Binding Element of the pref-1 promoter and
inhibits its expression.",20584981
4350,PARN,Generic enzyme,p53 (mitochondrial),Transcription factor,Inhibition,Binding,x,PARN binds to and inhibits p53 (mitochondrial).,26400160
4351,ATF-3,Transcription factor,MTHFD2,Generic enzyme,Activation,Transcription regulation,x,ATF-3 activates transcription of MTHFD2.,34081901;37591871
4352,PPAN,Generic binding protein,Nucleophosmin,Generic binding protein,Inhibition,Binding,x,PPAN binds to and inhibits Nucleophosmin.,25759387;26186194;28514442;33039556
4353,CTCF,Transcription factor,CD83,Protein,Inhibition,Transcription regulation,x,CTCF inhibits transcription of CD83.,29133437;31919189;32807777
4354,EED,Generic binding protein,NELL2,Generic binding protein,Inhibition,Transcription regulation,x,EED co-inhibits transcription of NELL2.,33479437
4355,MEF2A,Transcription factor,ITGA7,Generic receptor,Activation,Transcription regulation,x,MEF2A activates transcription of ITGA7.,29054930
4356,ARRDC3,Protein,NEDD4L,Generic enzyme,Activation,Binding,x,ARRDC3 binds to and activates NEDD4L.,23236378;28514442;32296183
4357,SOX2,Transcription factor,DDHD2,Generic phospholipase,Activation,Transcription regulation,x,SOX2 activates transcription of DDHD2.,23159369
4358,YY1,Transcription factor,SAE2,Generic enzyme,Activation,Transcription regulation,x,YY1 activates transcription of SAE2.,17721549;33110216
4359,KLF4,Transcription factor,Dystrophin,Generic binding protein,Activation,Transcription regulation,x,KLF4 activates transcription of Dystrophin.,27449096;32467224;33915080
4360,KLF4,Transcription factor,Tropomyosin-4,Generic binding protein,Activation,Transcription regulation,x,KLF4 activates transcription of Tropomyosin-4.,27237094;32467224;33640491
4361,HDAC5,Generic enzyme,MEF2C,Transcription factor,Inhibition,Binding,x,HDAC5 binds to and inhibits MEF2C.,10737771;11509672;25271055;31068415
4362,ZNF306,Transcription factor,CALDAG-GEFI,"Regulators (GDI, GAP, GEF)",Activation,Transcription regulation,x,Usining Cyclic Amplification and Selection of Targets (CAST-ing) approach were identified that ZNF306 precipitated with DNA of the CALDAG-GEFI promoter region.,18940803
4363,USP7,Generic protease,GLUT1,Transporter,Activation,Transcription regulation,x,USP7 co-activates transcription of GLUT1.,27934968
4364,Androgen receptor,Transcription factor,FN14(TNFRSF12A),Generic receptor,Inhibition,Transcription regulation,x,Androgen receptor inhibits transcription of FN14(TNFRSF12A).,24970477
4365,c-Jun,Transcription factor,Sirtuin1,Generic enzyme,Activation,Transcription regulation,x,c-Jun activates transcription of Sirtuin1.,18676681;22610349;30156909
4366,UBE2B,Generic enzyme,RNF20,Generic enzyme,Activation,Binding,x,hRAD6A/UBE2A and hRAD6B directly bound to the hBRE1 (RNAF20/STARING) complex. Human RAD6 Ubiquitylates Chromatin-associated H2B at Lysine 120 Only in the Presence of the Human BRE1 Complex. RAD6 is the cognate E2 of the BRE1 complex and solely responsible for H2B ubiquitylation at lysine 120 in human cells.,19410543;21443952;25582440;28180298;28514442
4367,SMYD3,Generic enzyme,CDCA1,Generic binding protein,Activation,Transcription regulation,x,SMYD3 co-activates transcription of CDCA1.,33608495
4368,hASH1,Transcription factor,MTGR1,Transcription factor,Activation,Transcription regulation,x,hASH1 activates transcription of MTGR1.,34466783
4369,SOX2,Transcription factor,EPHX2,Generic enzyme,Inhibition,Transcription regulation,x,SOX2 inhibits transcription of EPHX2.,19884255;38951654
4370,Ikaros,Transcription factor,ALPL,Generic phosphatase,Activation,Transcription regulation,x,Ikaros activates transcription of ALPL.,24509509
4371,SPOP,Generic binding protein,NANOG,Transcription factor,Inhibition,Binding,x,SPOP binds to and inhibits NANOG.,30595535;30595538;31624231
4372,SRF,Transcription factor,Ferroportin 1,Transporter,Activation,Transcription regulation,x,SRF activates transcription of Ferroportin 1.,23151848;33033234
4373,c-Jun,Transcription factor,SRX1,Generic binding protein,Activation,Transcription regulation,x,c-Jun and c-Fos binds to and activates Srx promoter.,18761713;19057013;20826812
4374,PAI2,Generic protease,p21,Generic binding protein,Activation,Binding,x,PAI2 binds to and activates p21.,28794016
4375,PAF1,Protein,SUPT6H,Generic binding protein,Inhibition,Binding,x,PAF1 binds to and inhibits SUPT6H.,31249142
4376,FOXK1,Transcription factor,p70 S6 kinase1,Protein kinase,Activation,Transcription regulation,x,"FOXK1 binds to and activates TFDP1, RPS6KB1, ACAP3, Parp10, and Cep72 promoters.",22740631
4377,eIF2C2 (Argonaute-2),Generic enzyme,JHDM1D,Generic binding protein,Activation,Transcription regulation,x,eIF2C2 (Argonaute-2) co-activates transcription of JHDM1D.,34108658;38943031
4378,SOX2,Transcription factor,Secretagogin,Generic binding protein,Inhibition,Transcription regulation,x,SOX2 inhibits transcription of Secretagogin.,19884255;38951654
4379,HSF2,Transcription factor,BTG2,Transcription factor,Inhibition,Transcription regulation,x,HSF2 inhibits transcription of BTG2.,35182974
4380,TPPP (p24),Generic binding protein,PRNP,Generic binding protein,Inhibition,Binding,x,TPPP formed molecular complex with PrP. Expression of TPPP significantly antagonized the disruption of microtubule structures and rescued the cytotoxicity caused by the accumulation of cytosolic PrP (CytoPrP).,21857997
4381,PDCD4,Generic binding protein,Bcl-XL,Generic binding protein,Inhibition,Binding,x,PDCD4 is a specific repressor of the IRES-dependent translation of cellular mRNAs (such as XIAP and Bcl-xL) that mediate FGF-S6K2 prosurvival signaling.,22431522
4382,NF-AT5,Transcription factor,RelA (p65 NF-kB subunit),Transcription factor,Activation,Binding,x,"TonEBP interacts with p65. p65-TonEBP complexes bind to kB elements of NF-kB responsive genes (TNF-alpha, MCP-1 or IkBalpha).",20685965;37088425
4383,PABPC1,Generic binding protein,SETDB1,Generic enzyme,Activation,Binding,x,PABPC1 binds to and activates SETDB1.,36436682
4384,C11orf9,Transcription factor,RASSF3,Generic binding protein,Inhibition,Transcription regulation,x,C11orf9 inhibits transcription of RASSF3.,32997974
4385,RelA (p65 NF-kB subunit),Transcription factor,Hap-1,Generic binding protein,Inhibition,Transcription regulation,x,RelA (p65 NF-kB subunit) inhibits transcription of Hap-1.,28579529
4386,c-Rel (NF-kB subunit),Transcription factor,PLK4 (STK18),Protein kinase,Activation,Transcription regulation,x,Putative c-Rel (NF-kB subunit) binding site is found in gene PLK4 promoter.,10607900;23974100
4387,BRG1,Generic enzyme,PR (membrane),Transcription factor,Activation,Transcription regulation,x,BRG1 co-activates transcription of PR (membrane).,22543272
4388,RelA (p65 NF-kB subunit),Transcription factor,N-CoR,Generic binding protein,Activation,Transcription regulation,x,RelA (p65 NF-kB subunit) activates transcription of N-CoR.,27340776
4389,STAT3,Transcription factor,Roquin,Generic binding protein,Activation,Transcription regulation,x,STAT3 activates transcription of Roquin.,25062971
4390,CBP,Generic enzyme,NR2B,Generic binding protein,Activation,Transcription regulation,x,CBP co-activates transcription of NR2B.,19081374;24413569;31801086
4391,RGS19,"Regulators (GDI, GAP, GEF)",NDPK B,Protein kinase,Activation,Binding,x,RGS19 binds to and activates NDPK B.,23416464
4392,CRY2,Transcription factor,PP5,Protein phosphatase,Inhibition,Binding,x,CRY2 binds to and inhibits PP5.,9383998;16790549
4393,SOX2,Transcription factor,P-cadherin,Generic binding protein,Activation,Transcription regulation,x,P-cadherin 5' upstream region has a putative SOX2-binding site.,16153702;18238855;19884255
4394,WTAP,Protein,CDK14,Protein kinase,Activation,Binding,x,WTAP binds to and activates CDK14.,39414635
4395,EGR1,Transcription factor,SPRY4,Generic binding protein,Inhibition,Transcription regulation,x,SPRY4 is a direct target of EGR1.,22198386
4396,CABIN1,Generic binding protein,GADD45 alpha,Generic binding protein,Inhibition,Transcription regulation,x,"CABIN1 occupied a specific set of p53 target gene promoters such as GADD45, CDKN1A, BBC3 and PMAIP1.",19668210;20379196
4397,SDOS,Generic enzyme,LSM14A,Protein,Activation,Binding,x,SDOS binds to and activates LSM14A.,39119906
4398,GASC1,Generic enzyme,SOX2,Transcription factor,Activation,Transcription regulation,x,GASC1 co-activates transcription of SOX2.,27742014;38975736
4399,EGR1,Transcription factor,CBP,Generic enzyme,Activation,Transcription regulation,x,EGR1 activates transcription of CBP.,9806899;15225550;33980611
4400,IQGAP2,"Regulators (GDI, GAP, GEF)",IRS-1,Generic binding protein,Inhibition,Binding,x,IQGAP2 binds to and inhibits IRS-1.,37805137
4401,PPAR-gamma,Transcription factor,SLC1A1/EAAT3,Transporter,Activation,Transcription regulation,x,PPAR-gamma activates transcription of SLC1A1/EAAT3.,35273075
4402,DLX5,Transcription factor,ALPL,Generic phosphatase,Activation,Transcription regulation,x,DLX5 binds to gene ALPL promoter and activates ALPL expression.,15383550;18096892;23592762;32650430
4403,FKHR,Transcription factor,SPRY4,Generic binding protein,Inhibition,Transcription regulation,x,FKHR inhibits transcription of SPRY4.,35297995
4404,SOX2,Transcription factor,DNA polymerase zeta,Generic enzyme,Activation,Transcription regulation,x,SOX2 activates transcription of DNA polymerase zeta.,19884255;38951654
4405,MEL1,Transcription factor,beta-MHC,Generic binding protein,Inhibition,Transcription regulation,x,MEL1 inhibits transcription of beta-MHC.,33086060
4406,SAE1,Generic enzyme,SUMO-3,Generic binding protein,Activation,Binding,x,E1-activating enzyme SAE1 physically interacts with SUMO-3.,12924945;17353931;22082260;30590722
4407,FOXO3A,Transcription factor,ULK2,Protein kinase,Activation,Transcription regulation,x,FOXO3A increases ULK2 mRNA expression.,18054316;19279323;21293178
4408,c-Kit,Receptor with enzyme activity,IL-2R gamma chain,Generic receptor,Activation,Binding,x,C-Kit physically interacts with IL-2R gamma chain and increases its activity.,17554063
4409,RelA (p65 NF-kB subunit),Transcription factor,BC023055,Protein,Inhibition,Transcription regulation,x,RelA (p65 NF-kB subunit) inhibits transcription of BC023055.,28579529
4410,PCNA,Generic binding protein,DDB2,Generic binding protein,Inhibition,Binding,x,PCNA binds to and inhibits DDB2.,24200966;29262658
4411,Mcl-1,Generic binding protein,TPT1,Generic binding protein,Activation,Binding,x,McL1 interacts with TCTP. This interaction was modelled on a demonstrated interaction between McL1 and TCTP both from unspecified species.,11598139;12149273;14687915;15870695
4412,Huntingtin,Generic binding protein,PSD-95,Generic binding protein,Inhibition,Binding,x,Huntingtin physically interact with PSD-95 and decreases it activity,11319238;12932731;15036808;19726651;20739295
4413,CUGBP1,Generic binding protein,DEK,Generic binding protein,Activation,Binding,x,CUGBP1 binds to and activates DEK.,29269732
4414,Cyclin D1,Generic binding protein,TCF7L2 (TCF4),Transcription factor,Activation,Transcription regulation,x,"Cyclin D1 binds to upstream regulatory regions of Id3, Id1, Mrg1 (also known as Meis2) and Tcf4 genes.",20090754
4415,BRG1,Generic enzyme,MEL1,Transcription factor,Activation,Transcription regulation,x,BRG1 co-activates transcription of MEL1.,33770102;34910916
4416,FLII,Generic binding protein,R-Ras,RAS - superfamily,Activation,Binding,x,FLII binds to and activates R-Ras.,30091651
4417,EKLF1,Transcription factor,Pim-1,Protein kinase,Activation,Transcription regulation,x,"KLF1 regulates erythroid cell survival, proliferation and integrity by direct regulation of Bcl-X, Xiap and Pim1.",20508144;36779846
4418,PBX1,Transcription factor,EED,Generic binding protein,Activation,Transcription regulation,x,Eed transcript levels were reduced in the somites of Pbx1/2 mutant embryos.,18691704
4419,RUNX3,Transcription factor,p53,Transcription factor,Activation,Binding,x,RUNX3 interacts with p53 and enhances p53-mediated transcriptional activation.,20353948;21188172;30520539;34803166;37156453
4420,Pellino 1,Generic enzyme,ATM,Protein kinase,Activation,Binding,x,Pellino 1 binds to and activates ATM.,30952868
4421,Trp53inp2,Protein,PLP1,Generic binding protein,Activation,Transcription regulation,x,Trp53inp2 co-activates transcription of PLP1.,39266660
4422,FBXW7,Generic binding protein,C/EBPdelta,Transcription factor,Inhibition,Binding,x,FBXW7 binds to and inhibits C/EBPdelta.,23575666
4423,AMBRA1,Generic binding protein,Cyclin D1,Generic binding protein,Inhibition,Binding,x,AMBRA1 binds to and inhibits Cyclin D1.,33854232;33854235;33854239;37993427
4424,STAT3,Transcription factor,Peg10,Generic binding protein,Activation,Transcription regulation,x,STAT3 binds to gene Peg10 promoter and activates Peg10 expression.,18065416;33526924
4425,GBR1,GPCR,GluR1,Ligand-gated ion channel,Activation,Binding,x,GBR1 physically interacts with GluR1 and increases its activity.,15550547;26539091
4426,STAT3,Transcription factor,PLAT (TPA),Generic protease,Activation,Transcription regulation,x,STAT3 activates transcription of PLAT (TPA).,18927629;29987839
4427,NANOG,Transcription factor,SALL-1,Transcription factor,Activation,Transcription regulation,x,SALL-1 5' upstream region has a putative NANOG-binding site.,16153702;17093407;18522731;19884255;23892456;26687479;33603233;33915080
4428,RelA (p65 NF-kB subunit),Transcription factor,BTF,Transcription factor,Activation,Transcription regulation,x,Rel-A is a transcription factor for Bclaf1 gene expression and Sirt1 inhibits Bclaf1 transcription by suppressing Rel-A.,21454709;26794446;34693625
4429,TCF8,Transcription factor,KLF4,Transcription factor,Activation,Transcription regulation,x,TCF8 activates transcription of KLF4.,18375530;29706544;33760173
4430,OAZIN,Generic binding protein,Cyclin D1,Generic binding protein,Activation,Binding,x,OAZIN physically interacts with Cyclin D1 and increases its activity.,16735445
4431,GADD45 gamma,Generic binding protein,PPAR-gamma,Transcription factor,Activation,Binding,x,GADD45 gamma binds to and activates PPAR-gamma .,10872826
4432,c-Myb,Transcription factor,Androgen receptor,Transcription factor,Activation,Transcription regulation,x,c-Myb binds to the ADF element and activates the natural AR promoter.,18945670
4433,SRF,Transcription factor,CCDC80,Generic binding protein,Inhibition,Transcription regulation,x,SRF inhibits transcription of CCDC80.,23151848
4434,HBXIP,Generic binding protein,PPAR-beta(delta),Transcription factor,Activation,Transcription regulation,x,HBXIP co-activates transcription of PPAR-beta(delta).,29416623
4435,E2F4,Transcription factor,p27KIP1,Generic binding protein,Inhibition,Transcription regulation,x,E2F4 inhibits transcription of p27KIP1.,16606704;19562678;19828622;21247883;22179826;36047562
4436,ASXL1,Generic binding protein,RARalpha,Transcription factor,Activation,Binding,x,ASXL1 physically interacts with RARalpha and increases its activity.,16606617
4437,SMAD1,Transcription factor,DGAT2,Generic enzyme,Activation,Transcription regulation,x,SMAD1 activates transcription of DGAT2.,32561790;33230299
4438,NANOG,Transcription factor,LIPH,Generic enzyme,Activation,Transcription regulation,x,"Probably, LIPH is one of the Nanog genomic targets in murine ES cells.",18700969;19884255;33915080
