List Report,,,,,,,,,,,
MetaCore Data,,,,,,,,CDDI Data,,,
#,Input IDs,Network Object Name,Gene Symbol,Unit (protein or chem),Object Type,Description,Therapeutic Drugs,CDDI Biomarker,CDDI Biomarker Role,CDDI Biomarker Type,CDDI Genes & Targets
4713,,SOX12,Sox12,SOX12_MOUSE,Transcription factor,Transcription factor SOX-12,,,,,
4714,,SOX2,Sox2,SOX2_MOUSE,Transcription factor,Transcription factor SOX-2,,,,,
4715,,SOX21,Sox21,SOX21_MOUSE,Transcription factor,Transcription factor SOX-21,,,,,
4716,,SOX3,Sox3,SOX3_MOUSE,Transcription factor,Transcription factor SOX-3,,,,,
4717,,SOX6,Sox6,SOX6_MOUSE,Transcription factor,Transcription factor SOX-6,,,,,
4718,,SP-C,Sftpc,PSPC_MOUSE,Protein,Surfactant protein C,,,,,
4719,,SP192,Gpbp1l1,GPBL1_MOUSE,Generic binding protein,Vasculin-like protein 1,,,,,
4720,,SPA1,Sipa1,SIPA1_MOUSE,"Regulators (GDI, GAP, GEF)",Signal-induced proliferation-associated protein 1,,,,,
4721,,SPA3M,Serpina3m,SPA3M_MOUSE,Generic binding protein,Serine protease inhibitor A3M,,,,,
4722,,SPAG4,Spag4,SPAG4_MOUSE,Generic binding protein,Sperm-associated antigen 4 protein,,,,,
4723,,SPAR (SIPA1L1),Sipa1l1,SI1L1_MOUSE,"Regulators (GDI, GAP, GEF)",Signal-induced proliferation-associated 1-like protein 1,,,,,
4724,,SPATA2,Spata2,SPAT2_MOUSE,Generic binding protein,Spermatogenesis-associated protein 2,,,,,
4725,,SPATA2L,Spata2l,SPA2L_MOUSE,Protein,Spermatogenesis-associated protein 2-like protein,,,,,
4726,,SPATA3,Spata3,SPTA3_MOUSE,Protein,Spermatogenesis-associated protein 3,,,,,
4727,,SPATA9,Spata9,SPAT9_MOUSE,Generic binding protein,Spermatogenesis-associated protein 9,,,,,
4728,,SPBP,Tcf20,TCF20_MOUSE,Transcription factor,Transcription factor 20,,,,,
4729,,SPC12,Spcs1,SPCS1_MOUSE,Generic protease,Signal peptidase complex subunit 1,,,,,
4730,,SPC22,Spcs3,SPCS3_MOUSE,Generic protease,Signal peptidase complex subunit 3,,,,,
4731,,SPEC1,Cdc42se1,C42S1_MOUSE,Generic binding protein,CDC42 small effector protein 1,,,,,
4732,,SPEC2,Cdc42se2,C42S2_MOUSE,Generic binding protein,CDC42 small effector protein 2,,,,,
4733,,SPECC1,Specc1,CYTSB_MOUSE,Protein,Cytospin-B,,,,,
4734,,SPEE,Srm,SPEE_MOUSE,Generic enzyme,Spermidine synthase,,,,,
4735,,SPF30,Smndc1,SPF30_MOUSE,Generic binding protein,Survival of motor neuron-related-splicing factor 30,,,,,
4736,,SPFH2,Erlin2,ERLN2_MOUSE,Protein,Erlin-2,,,,,
4737,,SPHK2,Sphk2,SPHK2_MOUSE,Lipid kinase,Sphingosine kinase 2,,,,,
4738,,SPINK8,Spink8,ISK8_MOUSE,Generic binding protein,Serine protease inhibitor Kazal-type 8,,,,,
4739,,SPOCK,Spock1,TICN1_MOUSE,Generic binding protein,Testican-1,,,,,
4740,,SPOCK2,Spock2,TICN2_MOUSE,Generic binding protein,Testican-2,,,,,
4741,,SPOP,Spop,SPOP_MOUSE,Generic binding protein,Speckle-type POZ protein,,,,,
4742,,SPPL2b,Sppl2b,SPP2B_MOUSE,Generic protease,Signal peptide peptidase-like 2B,,,,,
4743,,SPRED1,Spred1,SPRE1_MOUSE,Generic binding protein,"Sprouty-related, EVH1 domain-containing protein 1",,,,,
4744,,SPRED3,Spred3,SPRE3_MOUSE,Generic binding protein,"Sprouty-related, EVH1 domain-containing protein 3",,,,,
4745,,SPRY4,Spry4,SPY4_MOUSE,Generic binding protein,Protein sprouty homolog 4,,,,,
4746,,SPRYD3,Spryd3,Spryd3,Generic binding protein,SPRY domain containing 3,,,,,
4747,,SPTBN2,Sptbn2,Spnb3,Generic binding protein,spectrin beta 3,,,,,
4748,,SRA1,Sra1,SRA1_MOUSE,Generic binding protein,Steroid receptor RNA activator 1,,,,,
4749,,SRD5A2L2,Tecrl,TECRL_MOUSE,Generic enzyme,"Trans-2,3-enoyl-CoA reductase-like",,,,,
4750,,SRF,Srf,SRF_MOUSE,Transcription factor,Serum response factor,,,,,
4751,,SRFBP1,Srfbp1,SRFB1_MOUSE,Generic binding protein,Serum response factor-binding protein 1,,,,,
4752,,SRGAP1,Srgap1,SRGP1_MOUSE,"Regulators (GDI, GAP, GEF)",SLIT-ROBO Rho GTPase-activating protein 1,,,,,
4753,,SRGAP2,Srgap2,SRGP2_MOUSE,"Regulators (GDI, GAP, GEF)",SLIT-ROBO Rho GTPase-activating protein 2,,,,,
4754,,SRGAP2(WRP),Srgap3,SRGP3_MOUSE,"Regulators (GDI, GAP, GEF)",SLIT-ROBO Rho GTPase-activating protein 3,,,,,
4755,,SRP54,Srp54a,SRP54_MOUSE,Generic binding protein,Signal recognition particle subunit SRP54,,,,,
4756,,SRP54,Srp54b,SRP54_MOUSE,Generic binding protein,Signal recognition particle subunit SRP54,,,,,
4757,,SRRD,Srrd,SRR1L_MOUSE,Protein,SRR1-like protein,,,,,
4758,,SRX1,Srxn1,SRXN1_MOUSE,Generic binding protein,Sulfiredoxin-1,,,,,
4759,,SSAT,Sat1,SAT1_MOUSE,Generic enzyme,Diamine acetyltransferase 1,"N(1),N(11)-Diethylnorspermine",,,,
4760,,SSB-2,Spsb2,SPSB2_MOUSE,Protein,SPRY domain-containing SOCS box protein 2,,,,,
4761,,SSBP1,Ssbp1,SSBP_MOUSE,Generic binding protein,"Single-stranded DNA-binding protein, mitochondrial",,,,,
4762,,SSBP2,Ssbp2,SSBP2_MOUSE,Generic binding protein,Single-stranded DNA-binding protein 2,,,,,
4763,,SSBP4,Ssbp4,Ssbp4,Generic binding protein,single stranded DNA binding protein 4,,,,,
4764,,SSDH,Aldh5a1,SSDH_MOUSE,Generic enzyme,"Succinate-semialdehyde dehydrogenase, mitochondrial",,,,,
4765,,SSH1L,Ssh1,SSH1_MOUSE,Protein phosphatase,Protein phosphatase Slingshot homolog 1,,,,,
4766,,SSH3,Ssh3,SSH3_MOUSE,Protein phosphatase,Protein phosphatase Slingshot homolog 3,,,,,
4767,,SSR-delta,Ssr4,SSRD_MOUSE,Generic binding protein,Translocon-associated protein subunit delta,,,,,
4768,,SSR-gamma,Ssr3,SSRG_MOUSE,Generic binding protein,Translocon-associated protein subunit gamma,,,,,
4769,,SSRP1,Ssrp1,SSRP1_MOUSE,Generic binding protein,FACT complex subunit SSRP1,,,,,
4770,,SSTK,Tssk6,TSSK6_MOUSE,Protein kinase,Testis-specific serine/threonine-protein kinase 6,,,,,
4771,,SSTR2,Sstr2,SSR2_MOUSE,GPCR,Somatostatin receptor type 2,Octreotide,,,,
4772,,SSTR2,Sstr2,SSR2_MOUSE,GPCR,Somatostatin receptor type 2,Lanreotide,,,,
4773,,SSTR2,Sstr2,SSR2_MOUSE,GPCR,Somatostatin receptor type 2,Vapreotide,,,,
4774,,SSTR4,Sstr4,SSR4_MOUSE,GPCR,Somatostatin receptor type 4,,,,,
4775,,ST18,St18,ST18_MOUSE,Transcription factor,Suppression of tumorigenicity 18 protein,,,,,
4776,,ST2L,Tmed1,TMED1_MOUSE,Generic binding protein,Transmembrane emp24 domain-containing protein 1,,,,,
4777,,ST4S6,Chst15,CHSTF_MOUSE,Generic enzyme,Carbohydrate sulfotransferase 15,,,,,
4778,,ST6GAL2,St6gal2,SIAT2_MOUSE,Generic enzyme,"Beta-galactoside alpha-2,6-sialyltransferase 2",,,,,
4779,,ST7,St7,ST7_MOUSE,Generic binding protein,Suppressor of tumorigenicity 7 protein,,,,,
4780,,STAC2,Stac2,STAC2_MOUSE,Generic binding protein,SH3 and cysteine-rich domain-containing protein 2,,,,,
4781,,STAC3,Stac3,STAC3_MOUSE,Generic binding protein,SH3 and cysteine-rich domain-containing protein 3,,,,,
4782,,STAF65(gamma),Supt7l,ST65G_MOUSE,Generic binding protein,STAGA complex 65 subunit gamma,,,,,
4783,,STAG1,Stag1,STAG1_MOUSE,Generic binding protein,Cohesin subunit SA-1,,,,,
4784,,STAG2,Stag2,STAG2_MOUSE,Generic binding protein,Cohesin subunit SA-2,,,,,
4785,,STAM1,Stam,STAM1_MOUSE,Generic binding protein,Signal transducing adapter molecule 1,,,,,
4786,,STAR,Star,STAR_MOUSE,Transporter,"Steroidogenic acute regulatory protein, mitochondrial",,,,,
4787,,STARD13,Stard13,STA13_MOUSE,"Regulators (GDI, GAP, GEF)",StAR-related lipid transfer protein 13,,,,,
4788,,STARD7,Stard7,STAR7_MOUSE,Protein,"StAR-related lipid transfer protein 7, mitochondrial",,,,,
4789,,STARING,Rnf40,BRE1B_MOUSE,Generic enzyme,E3 ubiquitin-protein ligase BRE1B,,,,,
4790,,STAT1,Stat1,STAT1_MOUSE,Transcription factor,Signal transducer and activator of transcription 1,,,,,
4791,,STAT2,Stat2,STAT2_MOUSE,Transcription factor,Signal transducer and activator of transcription 2,,,,,
4792,,STAT3,Stat3,STAT3_MOUSE,Transcription factor,Signal transducer and activator of transcription 3,,,,,
4793,,STAT5B,Stat5b,STA5B_MOUSE,Transcription factor,Signal transducer and activator of transcription 5B,,,,,
4794,,STATIP1,Elp2,ELP2_MOUSE,Generic binding protein,Elongator complex protein 2,,,,,
4795,,STIM1,Stim1,STIM1_MOUSE,Generic binding protein,Stromal interaction molecule 1,,,,,
4796,,STIM2,Stim2,STIM2_MOUSE,Generic binding protein,Stromal interaction molecule 2,,,,,
4797,,STK19,Stk19,STK19_MOUSE,Protein kinase,Inactive serine/threonine-protein kinase 19,,,,,
4798,,STK32C,Stk32c,ST32C_MOUSE,Protein kinase,Serine/threonine-protein kinase 32C,,,,,
4799,,STK39,Stk39,STK39_MOUSE,Protein kinase,STE20/SPS1-related proline-alanine-rich protein kinase,,,,,
4800,,STK4,Stk4,STK4_MOUSE,Protein kinase,Serine/threonine-protein kinase 4,,,,,
4801,,STK40,Stk40,STK40_MOUSE,Protein kinase,Serine/threonine-protein kinase 40,,,,,
4802,,STMN2,Stmn2,STMN2_MOUSE,Generic binding protein,Stathmin-2,,,,,
4803,,STN2,Ston2,STON2_MOUSE,Generic binding protein,Stonin-2,,,,,
4804,,STO,Nsd1,NSD1_MOUSE,Generic enzyme,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",,,,,
4805,,STOML1,Stoml1,STML1_MOUSE,Generic binding protein,Stomatin-like protein 1,,,,,
4806,,STOML2,Stoml2,STML2_MOUSE,Receptor ligand,"Stomatin-like protein 2, mitochondrial",,,,,
4807,,STOX2,Stox2,STOX2_MOUSE,Protein,Storkhead-box protein 2,,,,,
4808,,STRBP,Strbp,STRBP_MOUSE,Generic binding protein,Spermatid perinuclear RNA-binding protein,,,,,
4809,,STT3A,Stt3a,STT3A_MOUSE,Generic enzyme,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,,,,,
4810,,STXBP4,Stxbp4,STXB4_MOUSE,Generic binding protein,Syntaxin-binding protein 4,,,,,
4811,,STXBP5,Stxbp5,STXB5_MOUSE,Generic binding protein,Syntaxin-binding protein 5,,,,,
4812,,STXBP6,Stxbp6,STXB6_MOUSE,Protein,Syntaxin-binding protein 6,,,,,
4813,,STYX,Styx,STYX_MOUSE,Protein phosphatase,Serine/threonine/tyrosine-interacting protein,,,,,
4814,,SUCB1,Sucla2,SUCB1_MOUSE,Generic enzyme,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial",,,,,
4815,,SUGT1,Sugt1,SGT1_MOUSE,Generic binding protein,Protein SGT1 homolog,,,,,
4816,,SULT2B1,Sult2b1,ST2B1_MOUSE,Generic enzyme,Sulfotransferase 2B1,,,,,
4817,,SUMO-3,Sumo3,SUMO3_MOUSE,Generic binding protein,Small ubiquitin-related modifier 3,,,,,
4818,,SUPT16H,Supt16,SP16H_MOUSE,Metalloprotease,FACT complex subunit SPT16,,,,,
4819,,SUPT6H,Supt6,SPT6H_MOUSE,Generic binding protein,Transcription elongation factor SPT6,,,,,
4820,,SUPV3L1,Supv3l1,SUV3_MOUSE,Generic binding protein,"ATP-dependent RNA helicase SUPV3L1, mitochondrial",,,,,
4821,,SURF1,Surf1,SURF1_MOUSE,Generic enzyme,Surfeit locus protein 1,,,,,
4822,,SURF2,Surf2,SURF2_MOUSE,Protein,Surfeit locus protein 2,,,,,
4823,,SURF6,Surf6,SURF6_MOUSE,Generic binding protein,Surfeit locus protein 6,,,,,
4824,,SUV39H2,Suv39h2,SUV92_MOUSE,Generic enzyme,Histone-lysine N-methyltransferase SUV39H2,,,,,
4825,,SV2B,Sv2b,SV2B_MOUSE,Transporter,Synaptic vesicle glycoprotein 2B,,,,,
4826,,SV2C,Sv2c,SV2C_MOUSE,Transporter,Synaptic vesicle glycoprotein 2C,,,,,
4827,,SVIL,Svil,SVIL_MOUSE,Generic binding protein,Supervillin,,,,,
4828,,SWI5,Swi5,SWI5_MOUSE,Protein,DNA repair protein SWI5 homolog,,,,,
4829,,SYNGR1,Syngr1,SNG1_MOUSE,Protein,Synaptogyrin-1,,,,,
4830,,SYNJ1,Synj1,SYNJ1_MOUSE,Lipid phosphatase,Synaptojanin-1,,,,,
4831,,SYNJ2,Synj2,SYNJ2_MOUSE,Lipid phosphatase,Synaptojanin-2,,,,,
4832,,SYP,Syp,SYPH_MOUSE,Transporter,Synaptophysin,,,,,
4833,,SYPM,Pars2,SYPM_MOUSE,Generic enzyme,"Probable proline--tRNA ligase, mitochondrial",,,,,
4834,,SYS1,Sys1,SYS1_MOUSE,Protein,Protein SYS1 homolog,,,,,
4835,,SYT14,Syt14,SYT14_MOUSE,Generic binding protein,Synaptotagmin-14,,,,,
4836,,SYT16,Syt16,SYT16_MOUSE,Generic binding protein,Synaptotagmin-16,,,,,
4837,,SYTL2,Sytl2,SYTL2_MOUSE,Generic binding protein,Synaptotagmin-like protein 2,,,,,
4838,,SZT2,Szt2,SZT2_MOUSE,Protein,KICSTOR complex protein SZT2,,,,,
4839,,Samd8,Samd8,SAMD8_MOUSE,Protein,Sphingomyelin synthase-related protein 1,,,,,
4840,,Scd2,Scd2,SCD2_MOUSE,Generic enzyme,Stearoyl-CoA desaturase 2,,,,,
4841,,Sciellin,Scel,SCEL_MOUSE,Generic binding protein,Sciellin,,,,,
4842,,Sec10,Exoc5,EXOC5_MOUSE,Protein,Exocyst complex component 5,,,,,
4843,,Sec15B,Exoc6b,EXC6B_MOUSE,Protein,Exocyst complex component 6B,,,,,
4844,,Sec24A,Sec24a,SC24A_MOUSE,Generic binding protein,Protein transport protein Sec24A,,,,,
4845,,Sec24C,Sec24c,Sec24c,Generic binding protein,"SEC24 related gene family, member C (S. cerevisiae)",,,,,
4846,,Sec24D,Sec24d,Sec24d,Generic binding protein,"SEC24 related gene family, member D (S. cerevisiae)",,,,,
4847,,Sec6,Exoc3,EXOC3_MOUSE,Protein,Exocyst complex component 3,,,,,
4848,,Sec8,Exoc4,EXOC4_MOUSE,Generic binding protein,Exocyst complex component 4,,,,,
4849,,Secretagogin,Scgn,SEGN_MOUSE,Generic binding protein,Secretagogin,,,,,
4850,,Secretogranin II,Scg2,SCG2_MOUSE,Receptor ligand,Secretogranin-2,,,,,
4851,,Secretogranin V,Scg5,7B2_MOUSE,Generic binding protein,Neuroendocrine protein 7B2,,,,,
4852,,Securin,Pttg1,PTTG1_MOUSE,Transcription factor,Securin,,,,,
4853,,Semaphorin 3A,Sema3a,SEM3A_MOUSE,Generic receptor,Semaphorin-3A,,,,,
4854,,Semaphorin 3D,Sema3d,SEM3D_MOUSE,Generic receptor,Semaphorin-3D,,,,,
4855,,Semaphorin 4B,Sema4b,SEM4B_MOUSE,Generic receptor,Semaphorin-4B,,,,,
4856,,Semaphorin 4C,Sema4c,SEM4C_MOUSE,Generic receptor,Semaphorin-4C,,,,,
4857,,Semaphorin 4D,Sema4d,SEM4D_MOUSE,Generic receptor,Semaphorin-4D,,,,,
4858,,Semaphorin 4F,Sema4f,SEM4F_MOUSE,Generic receptor,Semaphorin-4F,,,,,
4859,,Semaphorin 6A,Sema6a,SEM6A_MOUSE,Generic receptor,Semaphorin-6A,,,,,
4860,,Semaphorin 6B,Sema6b,SEM6B_MOUSE,Generic receptor,Semaphorin-6B,,,,,
4861,,Semaphorin 6D,Sema6d,SEM6D_MOUSE,Generic receptor,Semaphorin-6D,,,,,
4862,,Sen15,Tsen15,SEN15_MOUSE,Generic binding protein,tRNA-splicing endonuclease subunit Sen15,,,,,
4863,,Serine protease inhibitor A3M,Serpina3m,SPA3M_MOUSE,Generic binding protein,Serine protease inhibitor A3M,,,,,
4864,,Serine racemase,Srr,SRR_MOUSE,Generic enzyme,Serine racemase,,,,,
4865,,Serpin MEPI,Serpini2,SPI2_MOUSE,Generic binding protein,Serpin I2,,,,,
4866,,Serpina9,Serpina9,SPA9_MOUSE,Generic binding protein,Serpin A9,,,,,
4867,,Serpinb1b,Serpinb1b,ILEUB_MOUSE,Generic binding protein,Leukocyte elastase inhibitor B,,,,,
4868,,Serpinb6e_435350,Serpinb6e,Serpinb6e_435350,Protein,"serine (or cysteine) peptidase inhibitor, clade B, member 6e",,,,,
4869,,Serpinb9d,Serpinb9d,Serpinb9d,Generic binding protein,"serine (or cysteine) peptidase inhibitor, clade B, member 9d",,,,,
4870,,Serpinb9e,Serpinb9e,Serpinb9e,Generic binding protein,"serine (or cysteine) peptidase inhibitor, clade B, member 9e",,,,,
4871,,Sestrin 1,Sesn1,SESN1_MOUSE,Generic binding protein,Sestrin-1,,,,,
4872,,Sestrin 2,Sesn2,SESN2_MOUSE,Generic binding protein,Sestrin-2,,,,,
4873,,Sestrin 3,Sesn3,SESN3_MOUSE,Generic binding protein,Sestrin-3,,,,,
4874,,Sgt1,Ecd,ECD_MOUSE,Generic binding protein,Protein ecdysoneless homolog,,,,,
4875,,Sh3rf2,Sh3rf2,SH3R2_MOUSE,Generic enzyme,E3 ubiquitin-protein ligase SH3RF2,,,,,
4876,,Shootin1 (KIAA1598),Shtn1,SHOT1_MOUSE,Protein,Shootin-1,,,,,
4877,,Sialoadhesin,Siglec1,SN_MOUSE,Generic receptor,Sialoadhesin,,,,,
4878,,Sideroflexin-3,Sfxn3,SFXN3_MOUSE,Transporter,Sideroflexin-3,,,,,
4879,,Sideroflexin-4,Sfxn4,SFXN4_MOUSE,Transporter,Sideroflexin-4,,,,,
4880,,Sin3A,Sin3a,SIN3A_MOUSE,Generic binding protein,Paired amphipathic helix protein Sin3a,,,,,
4881,,Sirtuin1,Sirt1,SIR1_MOUSE,Generic enzyme,NAD-dependent protein deacetylase sirtuin-1,,,,,
4882,,Sirtuin4,Sirt4,SIR4_MOUSE,Generic enzyme,"NAD-dependent protein lipoamidase sirtuin-4, mitochondrial",,,,,
4883,,Sirtuin5,Sirt5,SIR5_MOUSE,Generic enzyme,"NAD-dependent protein deacylase sirtuin-5, mitochondrial",,,,,
4884,,Sirtuin6,Sirt6,SIR6_MOUSE,Generic enzyme,NAD-dependent protein deacylase sirtuin-6,,,,,
4885,,Six3os1,Six3os1,Six3os1_(MOUSE)_transcript,Protein,"SIX homeobox 3, opposite strand 1 transcript",,,,,
4886,,Ski,Ski,SKI_MOUSE,Generic binding protein,Ski oncogene,,,,,
4887,,Slc25a42,Slc25a42,S2542_MOUSE,Generic binding protein,Mitochondrial coenzyme A transporter SLC25A42,,,,,
4888,,Slc35d3,Slc35d3,S35D3_MOUSE,Transporter,Solute carrier family 35 member D3,,,,,
4889,,Slc35f3,Slc35f3,S35F3_MOUSE,Generic binding protein,Solute carrier family 35 member F3,,,,,
4890,,Slc7a15,Slc7a15,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 15",Protein,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 15",,,,,
4891,,Slx2,1700013H16Rik,1700013H16Rik,Generic binding protein,RIKEN cDNA 1700013H16 gene,,,,,
4892,,Smac/Diablo,Diablo,DBLOH_MOUSE,Generic binding protein,"Diablo homolog, mitochondrial",,,,,
4893,,Smchd1,Smchd1,SMHD1_MOUSE,Generic binding protein,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,,,,,
4894,,Snapin,Snapin,SNAPN_MOUSE,Generic binding protein,SNARE-associated protein Snapin,,,,,
4895,,Snhg11 (rodent),Snhg11,Snhg11,Protein,small nucleolar RNA host gene 11 (non-protein coding),,,,,
4896,,Sno-N,Skil,SKIL_MOUSE,Transcription factor,Ski-like protein,,,,,
4897,,Sortilin,Sort1,SORT_MOUSE,GPCR,Sortilin,,,,,
4898,,Sp17,Spa17,SP17_MOUSE,Generic binding protein,Sperm surface protein Sp17,,,,,
4899,,Spastin,Spast,SPAST_MOUSE,Generic binding protein,Spastin,,,,,
4900,,Spectrin beta 4,Sptbn4,Spnb4,Generic binding protein,spectrin beta 4,,,,,
4901,,Spermatogenesis-associated protein 9,Spata9,SPAT9_MOUSE,Generic binding protein,Spermatogenesis-associated protein 9,,,,,
4902,,Spermine oxidase,Smox,SMOX_MOUSE,Generic enzyme,Spermine oxidase,,,,,
4903,,Spindlin,Spin1,SPIN1_MOUSE,Protein,Spindlin-1,,,,,
4904,,Spink10,Spink10,ISK10_MOUSE,Generic binding protein,Serine protease inhibitor Kazal-type 10,,,,,
4905,,Spty2d1,Spty2d1,SPT2_MOUSE,Protein,Protein SPT2 homolog,,,,,
4906,,SrCap,Srcap,D030022P06Rik,Generic binding protein,RIKEN cDNA D030022P06 gene,,,,,
4907,,Srrp,Srsf12,SRS12_MOUSE,Protein,Serine/arginine-rich splicing factor 12,,,,,
4908,,StARD5,Stard5,STAR5_MOUSE,Transporter,StAR-related lipid transfer protein 5,,,,,
4909,,Stabilin-2,Stab2,STAB2_MOUSE,Generic receptor,Stabilin-2,,,,,
4910,,Stannin,Snn,SNN_MOUSE,Protein,Stannin,,,,,
4911,,Stanniocalcin 1,Stc1,STC1_MOUSE,Generic binding protein,Stanniocalcin-1,,,,,
4912,,Stanniocalcin 2,Stc2,STC2_MOUSE,Generic binding protein,Stanniocalcin-2,,,,,
4913,,Stathmin,Stmn1,STMN1_MOUSE,Generic binding protein,Stathmin,,,,,
4914,,Stathmin 3,Stmn3,STMN3_MOUSE,Generic binding protein,Stathmin-3,,,,,
4915,,Stathmin 4,Stmn4,STMN4_MOUSE,Protein,Stathmin-4,,,,,
4916,,Sti1,Stip1,STIP1_MOUSE,Generic binding protein,Stress-induced-phosphoprotein 1,,,,,
4917,,Striatin,Strn,STRN_MOUSE,Generic binding protein,Striatin,,,,,
4918,,Suprabasin,Sbsn,SBSN_MOUSE,Protein,Suprabasin,,,,,
4919,,Synapsin II,Syn2,SYN2_MOUSE,Generic binding protein,Synapsin-2,,,,,
4920,,Synaptopodin,Synpo,SYNPO_MOUSE,Generic binding protein,Synaptopodin,,,,,
4921,,Synaptoporin,Synpr,SYNPR_MOUSE,Transporter,Synaptoporin,,,,,
4922,,Synaptotagmin I,Syt1,SYT1_MOUSE,Generic receptor,Synaptotagmin-1,,,,,
4923,,Synaptotagmin II,Syt2,SYT2_MOUSE,Generic receptor,Synaptotagmin-2,,,,,
4924,,Synaptotagmin III,Syt3,SYT3_MOUSE,Generic receptor,Synaptotagmin-3,,,,,
4925,,Synaptotagmin IV,Syt4,SYT4_MOUSE,Generic receptor,Synaptotagmin-4,,,,,
4926,,Synaptotagmin V,Syt5,SYT5_MOUSE,Generic receptor,Synaptotagmin-5,,,,,
4927,,Synaptotagmin VI,Syt6,SYT6_MOUSE,Generic receptor,Synaptotagmin-6,,,,,
4928,,Synaptotagmin X,Syt10,SYT10_MOUSE,Generic receptor,Synaptotagmin-10,,,,,
4929,,Synaptotagmin XI,Syt11,SYT11_MOUSE,Generic receptor,Synaptotagmin-11,,,,,
4930,,Synaptotagmin-IX,Syt9,SYT9_MOUSE,Generic receptor,Synaptotagmin-9,,,,,
4931,,Syncollin,Sycn,SYCN_MOUSE,Protein,Syncollin,,,,,
4932,,Syndecan-1,Sdc1,SDC1_MOUSE,Generic receptor,Syndecan-1,,,,,
4933,,Syndecan-3,Sdc3,SDC3_MOUSE,Generic receptor,Syndecan-3,,,,,
4934,,Syngr3,Syngr3,SNG3_MOUSE,Protein,Synaptogyrin-3,,,,,
4935,,Synphilin 1,Sncaip,SNCAP_MOUSE,Generic binding protein,Synphilin-1,,,,,
4936,,Syntaphilin,Snph,SNPH_MOUSE,Generic binding protein,Syntaphilin,,,,,
4937,,Syntaxin 1B,Stx1b,STX1B_MOUSE,Ligand-gated ion channel,Syntaxin-1B,,,,,
4938,,Syntaxin 4,Stx4a,STX4_MOUSE,Transporter,Syntaxin-4,,,,,
4939,,Syntaxin 8,Stx8,STX8_MOUSE,Transporter,Syntaxin-8,,,,,
4940,,Syntenin 2,Sdcbp2,SDCB2_MOUSE,Generic binding protein,Syntenin-2,,,,,
4941,,Syntrophin B2,Sntb2,SNTB2_MOUSE,Generic binding protein,Beta-2-syntrophin,,,,,
4942,,Syntrophin gamma 1,Sntg1,SNTG1_MOUSE,Generic binding protein,Gamma-1-syntrophin,,,,,
4943,,T-Cc,Cyct,CYC2_MOUSE,Generic enzyme,"Cytochrome c, testis-specific",,,,,
4944,,T-bet,Tbx21,TBX21_MOUSE,Transcription factor,T-box transcription factor TBX21,,,,,
4945,,T-plastin,Pls3,PLST_MOUSE,Generic binding protein,Plastin-3,,,,,
4946,,T2,T2,T2,Protein,brachyury 2,,,,,
4947,,TAB1,Tab1,TAB1_MOUSE,Generic binding protein,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,,,,,
4948,,TAB2,Tab2,TAB2_MOUSE,Generic binding protein,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,,,,,
4949,,TACC1,Tacc1,TACC1_MOUSE,Generic binding protein,Transforming acidic coiled-coil-containing protein 1,,,,,
4950,,TACC2,Tacc2,TACC2_MOUSE,Generic binding protein,Transforming acidic coiled-coil-containing protein 2,,,,,
4951,,TADA1L,Tada1,TADA1_MOUSE,Protein,Transcriptional adapter 1,,,,,
4952,,TAF(I)63,Taf1b,TAF1B_MOUSE,Transcription factor,TATA box-binding protein-associated factor RNA polymerase I subunit B,,,,,
4953,,TAF12,Taf12,TAF12_MOUSE,Transcription factor,Transcription initiation factor TFIID subunit 12,,,,,
4954,,TAF13,Taf13,TAF13_MOUSE,Transcription factor,Transcription initiation factor TFIID subunit 13,,,,,
4955,,TAF15,Taf15,Taf15,Transcription factor,"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor",,,,,
4956,,TAF5,Taf5,TAF5_MOUSE,Transcription factor,Transcription initiation factor TFIID subunit 5,,,,,
4957,,TAF8,Taf8,TAF8_MOUSE,Generic binding protein,Transcription initiation factor TFIID subunit 8,,,,,
4958,,TAFI48,Taf1a,TAF1A_MOUSE,Transcription factor,TATA box-binding protein-associated factor RNA polymerase I subunit A,,,,,
4959,,TAFII150,Taf2,TAF2_MOUSE,Transcription factor,Transcription initiation factor TFIID subunit 2,,,,,
4960,,TAJ(TNFRSF19),Tnfrsf19,TNR19_MOUSE,Generic receptor,Tumor necrosis factor receptor superfamily member 19,,,,,
4961,,TALDO,Taldo1,TALDO_MOUSE,Generic enzyme,Transaldolase,,,,,
4962,,TAM41,Tamm41,TAM41_MOUSE,Generic enzyme,"Phosphatidate cytidylyltransferase, mitochondrial",,,,,
4963,,TANC2,Tanc2,TANC2_MOUSE,Generic binding protein,Protein TANC2,,,,,
4964,,TAPT1,Tapt1,TAPT1_MOUSE,Generic receptor,Transmembrane anterior posterior transformation protein 1,,,,,
4965,,TARDBP (TDP43),Tardbp,TADBP_MOUSE,Transcription factor,TAR DNA-binding protein 43,,,,,
